year.harvest,complexity,reef.name,transect,quadrat,size.mm
2016,moderate,w2.200r1,240,10,31
2016,moderate,w2.200r1,240,10,63
2016,moderate,w2.200r1,240,10,22
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,19
2016,moderate,w2.200r1,240,10,16
2016,moderate,w2.200r1,240,10,20
2016,moderate,w2.200r1,240,10,22
2016,moderate,w2.200r1,240,10,39
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,27
2016,moderate,w2.200r1,240,10,31
2016,moderate,w2.200r1,240,10,34
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,46
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,60
2016,moderate,w2.200r1,240,10,43
2016,moderate,w2.200r1,240,10,35
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,15
2016,moderate,w2.200r1,240,10,34
2016,moderate,w2.200r1,240,10,45
2016,moderate,w2.200r1,240,10,36
2016,moderate,w2.200r1,240,10,36
2016,moderate,w2.200r1,240,10,29
2016,moderate,w2.200r1,240,10,30
2016,moderate,w2.200r1,240,10,28
2016,moderate,w2.200r1,240,10,29
2016,moderate,w2.200r1,240,10,37
2016,moderate,w2.200r1,240,10,22
2016,moderate,w2.200r1,240,10,28
2016,moderate,w2.200r1,240,10,40
2016,moderate,w2.200r1,240,10,66
2016,moderate,w2.200r1,240,10,31
2016,moderate,w2.200r1,240,10,27
2016,moderate,w2.200r1,240,10,31
2016,moderate,w2.200r1,240,10,67
2016,moderate,w2.200r1,240,10,71
2016,moderate,w2.200r1,240,10,46
2016,moderate,w2.200r1,240,10,26
2016,moderate,w2.200r1,240,10,59
2016,moderate,w2.200r1,240,10,34
2016,moderate,w2.200r1,240,10,43
2016,moderate,w2.200r1,240,10,29
2016,moderate,w2.200r1,240,10,11
2016,moderate,w2.200r1,240,10,57
2016,moderate,w2.200r1,240,10,23
2016,moderate,w2.200r1,240,10,15
2016,moderate,w2.200r1,240,10,59
2016,moderate,w2.200r1,240,10,41
2016,moderate,w2.200r1,240,10,50
2016,moderate,w2.200r1,240,10,36
2016,moderate,w2.200r1,240,10,32
2016,moderate,w2.200r1,240,10,37
2016,moderate,w2.200r1,240,10,25
2016,moderate,w2.200r1,240,10,27
2016,moderate,w2.200r1,240,10,10
2016,moderate,w2.200r1,240,10,16
2016,moderate,w2.200r1,240,10,21
2016,moderate,w2.200r1,240,10,43
2016,moderate,w2.200r1,240,10,23
2016,moderate,w2.200r1,240,10,17
2016,moderate,w2.200r1,240,10,47
2016,moderate,w2.200r1,240,10,26
2016,moderate,w2.200r1,240,10,31
2016,moderate,w2.200r1,120,5,40
2016,moderate,w2.200r1,120,5,26
2016,moderate,w2.200r1,120,5,47
2016,moderate,w2.200r1,120,5,50
2016,moderate,w2.200r1,120,5,52
2016,moderate,w2.200r1,120,5,40
2016,moderate,w2.200r1,120,5,42
2016,moderate,w2.200r1,120,5,41
2016,moderate,w2.200r1,120,5,32
2016,moderate,w2.200r1,120,5,57
2016,moderate,w2.200r1,120,5,51
2016,moderate,w2.200r1,120,5,24
2016,moderate,w2.200r1,120,5,29
2016,moderate,w2.200r1,120,5,38
2016,moderate,w2.200r1,120,5,68
2016,moderate,w2.200r1,120,5,56
2016,moderate,w2.200r1,120,5,41
2016,moderate,w2.200r1,120,5,43
2016,moderate,w2.200r1,120,5,65
2016,moderate,w2.200r1,120,5,71
2016,moderate,w2.200r1,120,5,37
2016,moderate,w2.200r1,120,5,62
2016,moderate,w2.200r1,120,5,44
2016,moderate,w2.200r1,120,5,48
2016,moderate,w2.200r1,120,5,65
2016,moderate,w2.200r1,120,5,26
2016,moderate,w2.200r1,120,5,48
2016,moderate,w2.200r1,120,5,24
2016,moderate,w2.200r1,120,5,20
2016,moderate,w2.200r1,120,5,13
2016,moderate,w2.200r1,120,5,12
2016,moderate,w2.200r1,120,5,31
2016,moderate,w2.200r1,120,5,55
2016,moderate,w2.200r1,120,5,72
2016,moderate,w2.200r1,120,5,56
2016,moderate,w2.200r1,120,5,65
2016,moderate,w2.200r1,120,5,38
2016,moderate,w2.200r1,120,5,41
2016,moderate,w2.200r1,120,5,62
2016,moderate,w2.200r1,120,5,71
2016,moderate,w2.200r1,120,5,48
2016,moderate,w2.200r1,120,5,35
2016,moderate,w2.200r1,120,5,77
2016,moderate,w2.200r1,120,5,30
2016,moderate,w2.200r1,120,5,51
2016,moderate,w2.200r1,120,5,29
2016,moderate,w2.200r1,120,5,49
2016,moderate,w2.200r1,120,5,46
2016,moderate,w2.200r1,120,5,46
2016,moderate,w2.200r1,120,5,66
2016,moderate,w2.200r1,120,5,40
2016,moderate,w2.200r1,120,5,59
2016,moderate,w2.200r1,120,5,38
2016,moderate,w2.200r1,120,5,45
2016,moderate,w2.200r1,120,5,52
2016,moderate,w2.200r1,120,5,57
2016,moderate,w2.200r1,120,5,77
2016,moderate,w2.200r1,120,5,61
2016,moderate,w2.200r1,120,5,50
2016,moderate,w2.200r1,120,5,61
2016,moderate,w2.200r1,120,5,27
2016,moderate,w2.200r1,120,5,51
2016,moderate,w2.200r1,120,5,34
2016,moderate,w2.200r1,120,5,52
2016,moderate,w2.200r1,120,5,57
2016,moderate,w2.200r1,120,5,69
2016,moderate,w2.200r1,120,5,44
2016,moderate,w2.200r1,120,5,60
2016,moderate,w2.200r1,120,5,29
2016,moderate,w2.200r1,120,5,30
2016,moderate,w2.200r1,120,5,50
2016,moderate,w2.200r1,120,5,63
2016,moderate,w2.200r1,120,5,43
2016,moderate,w2.200r1,120,5,44
2016,moderate,w2.200r1,120,5,56
2016,moderate,w2.200r1,120,5,47
2016,moderate,w2.200r1,120,5,37
2016,moderate,w2.200r1,120,5,42
2016,moderate,w2.200r1,120,5,54
2016,moderate,w2.200r1,120,5,46
2016,moderate,w2.200r1,120,5,47
2016,moderate,w2.200r1,120,5,55
2016,moderate,w2.200r1,120,5,71
2016,moderate,w2.200r1,120,5,42
2016,moderate,w2.200r1,120,5,54
2016,moderate,w2.200r1,120,5,49
2016,moderate,w2.200r1,120,5,55
2016,moderate,w2.200r1,120,5,43
2016,moderate,w2.200r1,120,5,53
2016,moderate,w2.200r1,120,5,77
2016,moderate,w2.200r1,120,5,62
2016,moderate,w2.200r1,120,5,57
2016,moderate,w2.200r1,120,5,33
2016,moderate,w2.200r1,120,5,40
2016,moderate,w2.200r1,120,5,49
2016,moderate,w2.200r1,120,5,9
2016,moderate,w2.200r1,120,5,37
2016,moderate,w2.200r1,120,5,50
2016,moderate,w2.200r1,120,5,45
2016,moderate,w2.200r1,120,5,46
2016,moderate,w2.200r1,120,5,38
2016,moderate,w2.200r1,120,5,37
2016,moderate,w2.200r1,120,5,28
2016,moderate,w2.200r1,120,5,63
2016,moderate,w2.200r1,120,5,28
2016,moderate,w2.200r1,120,5,36
2016,moderate,w2.200r1,120,5,44
2016,moderate,w2.200r1,120,5,25
2016,moderate,w2.200r1,120,5,24
2016,moderate,w2.200r1,120,5,58
2016,moderate,w2.200r1,120,5,40
2016,moderate,w2.200r1,120,5,36
2016,moderate,w2.200r1,120,5,39
2016,moderate,w2.200r1,120,5,35
2016,moderate,w2.200r1,120,5,15
2016,moderate,w2.200r1,120,5,20
2016,moderate,w2.200r1,120,5,11
2016,moderate,w2.200r1,120,5,14
2016,moderate,w2.200r1,120,5,52
2016,moderate,w2.200r1,120,5,46
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,120,10,47
2016,moderate,w2.200r1,120,10,48
2016,moderate,w2.200r1,120,10,24
2016,moderate,w2.200r1,120,10,59
2016,moderate,w2.200r1,120,10,59
2016,moderate,w2.200r1,120,10,16
2016,moderate,w2.200r1,120,10,26
2016,moderate,w2.200r1,120,10,37
2016,moderate,w2.200r1,120,10,38
2016,moderate,w2.200r1,120,10,50
2016,moderate,w2.200r1,120,10,36
2016,moderate,w2.200r1,120,10,33
2016,moderate,w2.200r1,120,10,63
2016,moderate,w2.200r1,120,10,54
2016,moderate,w2.200r1,120,10,33
2016,moderate,w2.200r1,120,10,39
2016,moderate,w2.200r1,120,10,30
2016,moderate,w2.200r1,120,10,58
2016,moderate,w2.200r1,120,10,63
2016,moderate,w2.200r1,120,10,39
2016,moderate,w2.200r1,120,10,55
2016,moderate,w2.200r1,120,10,52
2016,moderate,w2.200r1,120,10,62
2016,moderate,w2.200r1,120,10,31
2016,moderate,w2.200r1,120,10,51
2016,moderate,w2.200r1,120,10,50
2016,moderate,w2.200r1,120,10,52
2016,moderate,w2.200r1,120,10,36
2016,moderate,w2.200r1,120,10,53
2016,moderate,w2.200r1,120,10,60
2016,moderate,w2.200r1,120,10,57
2016,moderate,w2.200r1,120,10,23
2016,moderate,w2.200r1,120,10,51
2016,moderate,w2.200r1,120,10,35
2016,moderate,w2.200r1,120,10,45
2016,moderate,w2.200r1,120,10,50
2016,moderate,w2.200r1,120,10,55
2016,moderate,w2.200r1,120,10,52
2016,moderate,w2.200r1,120,10,5
2016,moderate,w2.200r1,120,10,14
2016,moderate,w2.200r1,120,10,68
2016,moderate,w2.200r1,120,10,38
2016,moderate,w2.200r1,120,10,29
2016,moderate,w2.200r1,120,10,34
2016,moderate,w2.200r1,120,10,55
2016,moderate,w2.200r1,120,10,33
2016,moderate,w2.200r1,120,10,26
2016,moderate,w2.200r1,120,10,15
2016,moderate,w2.200r1,120,10,30
2016,moderate,w2.200r1,120,10,49
2016,moderate,w2.200r1,120,10,58
2016,moderate,w2.200r1,120,10,68
2016,moderate,w2.200r1,120,10,48
2016,moderate,w2.200r1,120,10,45
2016,moderate,w2.200r1,120,10,69
2016,moderate,w2.200r1,120,10,53
2016,moderate,w2.200r1,120,10,59
2016,moderate,w2.200r1,120,10,52
2016,moderate,w2.200r1,120,10,55
