day.harv,month.harv,year.harv,day.proc,month.proc,year.proc,Site,region,distance,reef,shelled,site,reef.name,reef.type,transect,quadrat,sample.wt,total.adults,total.spat,total.newg,total.oldg,adult.per.mass,spat.per.mass
12,7,2016,13,7,2016,apalachicola,west,2,5,yes,w2.400,w2.400r5,subtidal,0,5,8.98,12,17,11,2,1.336302895,1.893095768
12,7,2016,13,7,2016,apalachicola,west,2,5,yes,w2.400,w2.400r5,subtidal,0,15,8.64,3,11,2,1,0.347222222,1.273148148
12,7,2016,13,7,2016,apalachicola,west,2,5,yes,w2.400,w2.400r5,subtidal,240,10,9.85,37,25,17,11,3.756345178,2.538071066
12,7,2016,13,7,2016,apalachicola,west,2,5,yes,w2.400,w2.400r5,subtidal,240,20,4.56,40,33,30,8,8.771929825,7.236842105
12,7,2016,13,7,2016,apalachicola,west,2,5,yes,w2.400,w2.400r5,subtidal,240,5,7.85,95,20,29,22,12.10191083,2.547770701
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,240,20,1.06,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,240,15,1.21,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,120,5,1.69,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,0,5,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,0,10,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,0,15,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,0,20,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,120,10,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,120,15,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,120,20,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,240,10,0,0,0,0,0,0,0
20,7,2016,20,7,2016,apalachicola,west,2,1,no,w2,w2r1,subtidal,240,5,0,0,0,0,0,0,0
14,7,2016,14,7,2016,apalachicola,west,2,2,no,w2,w2r2,subtidal,240,15,9.59,8,3,3,1,0.834202294,0.31282586
